cardId,cardTitle,sourceFile,backgroundId,backgroundFileName,backgroundUnityPath,choiceSlot,choiceId,choiceText,choiceImageId,choiceFileName,choiceUnityPath,nextCardId
smm_card_001,Yetimlikten Bulaşıkhaneye: İlk Eşik,CARDS_PART_01_INTRO.yaml,bg_saray_bulasikhanesi_sabah,bg_saray_bulasikhanesi_sabah.png,Assets/Stories/saray_mutfagindan_muhre/Backgrounds/bg_saray_bulasikhanesi_sabah.png,A,smm_card_001_a,Lekeyi üstlenip gerçeği söyle,choice_smm_card_001_a,choice_smm_card_001_a.png,Assets/Stories/saray_mutfagindan_muhre/Choices/choice_smm_card_001_a.png,smm_card_002
smm_card_001,Yetimlikten Bulaşıkhaneye: İlk Eşik,CARDS_PART_01_INTRO.yaml,bg_saray_bulasikhanesi_sabah,bg_saray_bulasikhanesi_sabah.png,Assets/Stories/saray_mutfagindan_muhre/Backgrounds/bg_saray_bulasikhanesi_sabah.png,B,smm_card_001_b,Suçu kıdemsiz çırağa yönelt,choice_smm_card_001_b,choice_smm_card_001_b.png,Assets/Stories/saray_mutfagindan_muhre/Choices/choice_smm_card_001_b.png,smm_card_003
smm_card_002,Yetimlikten Bulaşıkhaneye: Sıcak Bakır,CARDS_PART_01_INTRO.yaml,bg_saray_bulasikhanesi_gece,bg_saray_bulasikhanesi_gece.png,Assets/Stories/saray_mutfagindan_muhre/Backgrounds/bg_saray_bulasikhanesi_gece.png,A,smm_card_002_a,Tabakları sessizce düzene sok,choice_smm_card_002_a,choice_smm_card_002_a.png,Assets/Stories/saray_mutfagindan_muhre/Choices/choice_smm_card_002_a.png,smm_card_003
smm_card_002,Yetimlikten Bulaşıkhaneye: Sıcak Bakır,CARDS_PART_01_INTRO.yaml,bg_saray_bulasikhanesi_gece,bg_saray_bulasikhanesi_gece.png,Assets/Stories/saray_mutfagindan_muhre/Backgrounds/bg_saray_bulasikhanesi_gece.png,B,smm_card_002_b,Fısıltıyı soytarıya sat,choice_smm_card_002_b,choice_smm_card_002_b.png,Assets/Stories/saray_mutfagindan_muhre/Choices/choice_smm_card_002_b.png,smm_card_004
smm_card_003,Yetimlikten Bulaşıkhaneye: Sessiz Bakış,CARDS_PART_01_INTRO.yaml,bg_hizmetkar_koridoru,bg_hizmetkar_koridoru.png,Assets/Stories/saray_mutfagindan_muhre/Backgrounds/bg_hizmetkar_koridoru.png,A,smm_card_003_a,Aç çocuğa payını bırak,choice_smm_card_003_a,choice_smm_card_003_a.png,Assets/Stories/saray_mutfagindan_muhre/Choices/choice_smm_card_003_a.png,smm_card_004
smm_card_003,Yetimlikten Bulaşıkhaneye: Sessiz Bakış,CARDS_PART_01_INTRO.yaml,bg_hizmetkar_koridoru,bg_hizmetkar_koridoru.png,Assets/Stories/saray_mutfagindan_muhre/Backgrounds/bg_hizmetkar_koridoru.png,B,smm_card_003_b,Kiler kapısını gizlice dene,choice_smm_card_003_b,choice_smm_card_003_b.png,Assets/Stories/saray_mutfagindan_muhre/Choices/choice_smm_card_003_b.png,smm_card_005
smm_card_004,Yetimlikten Bulaşıkhaneye: İnce Hesap,CARDS_PART_01_INTRO.yaml,bg_kiler_serin_tas,bg_kiler_serin_tas.png,Assets/Stories/saray_mutfagindan_muhre/Backgrounds/bg_kiler_serin_tas.png,A,smm_card_004_a,Ustanın ölçüsünü harfiyen uygula,choice_smm_card_004_a,choice_smm_card_004_a.png,Assets/Stories/saray_mutfagindan_muhre/Choices/choice_smm_card_004_a.png,smm_card_005
smm_card_004,Yetimlikten Bulaşıkhaneye: İnce Hesap,CARDS_PART_01_INTRO.yaml,bg_kiler_serin_tas,bg_kiler_serin_tas.png,Assets/Stories/saray_mutfagindan_muhre/Backgrounds/bg_kiler_serin_tas.png,B,smm_card_004_b,Kazın yürüyüşünü abartarak anlat,choice_smm_card_004_b,choice_smm_card_004_b.png,Assets/Stories/saray_mutfagindan_muhre/Choices/choice_smm_card_004_b.png,smm_card_006
smm_card_005,Yetimlikten Bulaşıkhaneye: Gizli Lekeler,CARDS_PART_01_INTRO.yaml,bg_saray_avlusu,bg_saray_avlusu.png,Assets/Stories/saray_mutfagindan_muhre/Backgrounds/bg_saray_avlusu.png,A,smm_card_005_a,Kapı nöbetçisine saygılı yaklaş,choice_smm_card_005_a,choice_smm_card_005_a.png,Assets/Stories/saray_mutfagindan_muhre/Choices/choice_smm_card_005_a.png,smm_card_006
smm_card_005,Yetimlikten Bulaşıkhaneye: Gizli Lekeler,CARDS_PART_01_INTRO.yaml,bg_saray_avlusu,bg_saray_avlusu.png,Assets/Stories/saray_mutfagindan_muhre/Backgrounds/bg_saray_avlusu.png,B,smm_card_005_b,Artan ekmeği pazara kaçır,choice_smm_card_005_b,choice_smm_card_005_b.png,Assets/Stories/saray_mutfagindan_muhre/Choices/choice_smm_card_005_b.png,smm_card_008
